"","HVA_1_miR","HVA_2_miR","HVA_3_miR","HVA_4_miR","HVA_5_miR","HVA_6_miR","HVAK_1_miR","HVAK_2_miR","HVAK_3_miR","HVAK_4_miR","HVAK_5_miR","HVAK_6_miR"
"mmu-miR-345-3p",63.4375213871139,55.9683230150164,77.2713506326047,36.2111850719492,62.4264837309742,104.395893894089,22.9161306166315,38.1638466252286,140.807365484501,34.1068855557423,28.4674823857293,24.506189496626
"mmu-miR-345-5p",866.979458957224,1052.51540781017,814.321156666681,747.052492027821,825.247662980196,845.269979594079,796.335538927944,832.448904512798,832.986730550415,732.20952182434,648.346911334985,663.894951817687
"mmu-miR-346-5p",0,0,0,0,0.761298582085052,0,0,0,0,0,0.711687059643233,0
"mmu-miR-3470b",5.56469485851877,3.10935127861202,2.37758001946476,0.787199675477157,12.1807773133608,2.52570711034087,5.72903265415787,4.77048082815357,4.44654838372108,7.25678416079623,2.1350611789297,2.22783540878418
"mmu-miR-3473g",1.11293897170375,0,0,0,2.28389574625515,0.841902370113624,1.14580653083157,0,1.48218279457369,2.17703524823887,1.42337411928647,0.742611802928062
"mmu-miR-34a-3p",6.67763383022252,6.21870255722404,9.51032007785904,6.29759740381725,3.80649291042526,9.26092607124987,12.6038718391473,1.19262020703839,2.96436558914738,11.610854657274,6.4051835367891,9.6539534380648
"mmu-miR-34a-5p",6517.37061829718,8037.67305521207,5819.12709764,6124.41347521228,6136.06657160552,6732.69325379865,8037.83281378349,6096.67449838026,6280.00850060873,5362.03781641233,4897.83034446473,6249.82093344257
"mmu-miR-34b-3p",1.11293897170375,1.55467563930601,3.56637002919714,0.787199675477157,6.85168723876547,4.20951185056812,0,0,2.96436558914738,2.17703524823887,0.711687059643233,0.742611802928062
"mmu-miR-34b-5p",16.6940845755563,23.3201345895902,11.8879000973238,21.2543912378832,63.9490808951443,8.41902370113624,10.3122587774842,14.3114424844607,8.89309676744215,23.9473877306276,7.82855765607556,17.8226832702735
"mmu-miR-34c-3p",1.11293897170375,3.10935127861202,0,0.787199675477157,3.04519432834021,0,1.14580653083157,1.19262020703839,0,1.45135683215925,0,2.22783540878418
"mmu-miR-34c-5p",77.9057280192627,68.4057281294645,29.7197502433095,69.2735714419898,212.402304401729,51.3560445769311,60.7277461340734,34.5859860041134,53.3585806046529,104.497691915466,27.0441082664429,71.2907330810939
"mmu-miR-350-3p",11.1293897170375,17.1014320323661,7.13274005839428,12.5951948076345,0,13.470437921818,5.72903265415787,8.34834144926875,8.89309676744215,11.610854657274,20.6389247296538,17.8226832702735
"mmu-miR-350-5p",11.1293897170375,7.77337819653005,11.8879000973238,33.0623863700406,12.9420758954459,103.553991523976,18.3329044933052,13.1188222774223,8.89309676744215,34.8325639718219,29.8908565050158,52.7254380078924
"mmu-miR-351-5p",62.3245824154102,125.928726783787,101.047150827252,53.5295779324466,41.8714220146778,22.7313639930679,82.4980702198734,93.0243761489946,42.9833010426371,58.0542732863698,103.906310707912,62.3793914459572
"mmu-miR-361-3p",0,1.55467563930601,1.18879000973238,3.14879870190863,2.28389574625515,2.52570711034087,0,1.19262020703839,1.48218279457369,0.725678416079623,0,0
"mmu-miR-361-5p",388.41570112461,478.840096906251,387.545543172756,384.94064130833,412.623831490098,547.236540573856,253.223243313778,385.216326873401,416.493365275207,395.494736763394,360.825339239119,388.385972931376
"mmu-miR-362-3p",10.0164507453338,9.32805383583606,10.6991100875914,14.1695941585888,13.7033744775309,15.1542426620452,11.4580653083157,8.34834144926875,13.3396451511632,13.0622114894332,14.2337411928647,16.3374596644174
"mmu-miR-362-5p",1187.5058828079,1366.55988694998,1275.57168044284,1187.09711061955,260.364115073088,872.210855437715,1562.88010805427,1480.04167693464,1437.71731073648,1135.68672116461,1447.57147931434,1255.01394694842
"mmu-miR-365-2-5p",2.22587794340751,3.10935127861202,1.18879000973238,0.787199675477157,2.28389574625515,0.841902370113624,3.43741959249472,2.38524041407678,0,2.17703524823887,4.2701223578594,5.19828262049643
"mmu-miR-365-3p",10.0164507453338,13.9920807537541,9.51032007785904,5.5103977283401,3.04519432834021,1.68380474022725,40.1032285791051,16.6966828985375,14.8218279457369,7.25678416079623,19.9272376700105,22.2783540878418
"mmu-miR-369-3p",7.79057280192627,3.10935127861202,5.9439500486619,2.36159902643147,9.13558298502062,1.68380474022725,3.43741959249472,2.38524041407678,2.96436558914738,3.62839208039811,6.4051835367891,0.742611802928062
"mmu-miR-369-5p",0,0,1.18879000973238,0.787199675477157,0,0.841902370113624,0,2.38524041407678,0,0.725678416079623,0.711687059643233,0
"mmu-miR-370-3p",0,0,0,0,3.04519432834021,0.841902370113624,0,0,0,0,1.42337411928647,0
"mmu-miR-374b-5p",3917.54518039721,5449.13811576757,4177.40809419959,3210.20027659584,2347.08352856821,3507.36527389336,3742.20412969592,4014.35961689123,5448.50395285289,3436.08730013701,3534.2379381883,3479.8789085209
"mmu-miR-375-3p",6723.26432806237,8603.57498791946,8862.4295225549,6232.25983075265,6971.21111615282,7257.19843037944,4407.91772410907,7297.64304686792,8134.21917662042,5592.07787430957,5697.76659950372,4969.55818519459
"mmu-miR-375-5p",1.11293897170375,1.55467563930601,0,1.57439935095431,0.761298582085052,0,1.14580653083157,1.19262020703839,1.48218279457369,0.725678416079623,0.711687059643233,1.48522360585612
"mmu-miR-376a-3p",2.22587794340751,1.55467563930601,1.18879000973238,0,2.28389574625515,0.841902370113624,0,0,0,0,2.1350611789297,0
"mmu-miR-376a-5p",1.11293897170375,1.55467563930601,0,0.787199675477157,0.761298582085052,0.841902370113624,0,2.38524041407678,0,0.725678416079623,1.42337411928647,0
"mmu-miR-376b-3p",35.6140470945201,23.3201345895902,52.3067604282247,42.5087824757665,62.4264837309742,27.7827782137496,12.6038718391473,20.2745435196527,29.6436558914738,31.9298503075034,61.205087129318,20.7931304819857
"mmu-miR-376b-5p",0,3.10935127861202,1.18879000973238,8.65919643024872,12.9420758954459,4.20951185056812,1.14580653083157,1.19262020703839,2.96436558914738,7.98246257687585,9.25193177536203,2.97044721171225
"mmu-miR-376c-3p",1.11293897170375,0,3.56637002919714,0.787199675477157,1.5225971641701,0,1.14580653083157,0,2.96436558914738,0,0.711687059643233,0
"mmu-miR-377-3p",0,1.55467563930601,0,0,1.5225971641701,0.841902370113624,1.14580653083157,0,0,0,1.42337411928647,0
"mmu-miR-377-5p",1.11293897170375,6.21870255722404,0,1.57439935095431,3.04519432834021,0,2.29161306166315,1.19262020703839,0,1.45135683215925,2.1350611789297,0
"mmu-miR-378a-3p",5179.61797430927,5135.09363662775,5085.64366163512,3974.57116148416,4828.91690616548,3196.70329932143,4747.07645723521,5195.05362185924,6253.32921030641,4695.13935203516,4512.0959581381,4169.76527344107
"mmu-miR-378a-5p",44.5175588681501,43.5309179005683,35.6637002919714,28.3391883171776,75.3685596264201,39.5694113953403,22.9161306166315,44.1269476604205,42.9833010426371,55.1515596220513,46.2596588768101,40.8436491610434
