"","HVA1","HVA2","HVA3","HVA4","HVA5","HVA6","HVAK1","HVAK2","HVAK3","HVAK4","HVAK5","HVAK6"
"peak8167",18.5932003745455,17.0475910590965,13.4194326277349,20.2448941895223,0,0,16.8853050023264,13.135536999882,9.25934789230143,33.3365725673693,39.1934244818763,27.6745633285825
"peak8170",12.2323686674641,9.47088392172026,6.70971631386745,12.344447676538,0,0,7.23655928671133,4.14806431575221,23.1483697307536,24.788733447531,27.3322565465717,19.159313073634
"peak8171",26.9112110684211,26.5184749808167,27.9571513077811,47.4026790779059,58.888278697768,16.8708206215784,21.2272405743532,27.6537621050147,57.8709243268839,141.894129389315,80.4496607785883,81.6044816099227
"peak8210",37.6756954957895,176.158440943997,135.31261232966,141.220481419595,31.709073144952,12.0505861582703,161.616490736553,136.886122419823,46.2967394615071,162.408943276927,156.773697927505,118.503899381366
"peak8220",12.2323686674641,5.68253035303215,12.3011465754237,25.676451167199,0,0,20.2623660027917,10.3701607893805,34.7225545961303,25.6435173595148,27.8479595002806,34.0610010197938
"peak8252",16.6360213877512,3.7883535686881,8.94628841848994,33.5768976801833,4.529867592136,0,31.3584235757491,22.8143537366372,34.7225545961303,51.2870347190297,60.3372455839412,50.3818973417783
"peak8300",6.36083170708135,7.57670713737621,3.35485815693373,18.7635604683377,0,0,6.75412200093057,2.07403215787611,20.8335327576782,49.577466895062,17.5339004261026,31.2225842681443
"peak8309",6.36083170708135,13.2592374904084,10.0645744708012,18.7635604683377,0,7.23035169496218,22.1921151459147,8.98747268412979,6.94451091922607,12.8217586797574,20.628118148356,15.6112921340722
"peak8371",4.89294746698565,1.89417678434405,0,20.2448941895223,0,0,1.92974914312302,4.83940836837758,23.1483697307536,55.5609542789488,19.0810092872293,39.0282303351804
"peak8404",2.44647373349283,7.57670713737621,5.59143026155621,9.38178023416887,0,0,5.30681014358831,9.67881673675516,16.2038588115275,11.1121908557898,14.4396827038492,9.22485444286082
"peak8410",29.8469795486125,30.3068285495048,38.0217257785822,112.087584902965,18.119470368544,36.1517584748109,96.0050198703703,66.3690290520354,64.81543524611,164.973295012879,139.239797501403,131.276774763789
"peak8486",2.93576848019139,9.47088392172026,6.70971631386745,17.2822267471532,4.529867592136,4.82023446330812,37.1476710051181,20.0489775261357,4.62967394615071,5.98348738388679,14.9553856575581,6.38643769121134
"peak8490",1.95717898679426,22.7301214121286,25.7205792031586,3.95022325649215,0,0,52.1032268643215,53.9248361047787,0,1.70956782396766,8.25124725934239,2.12881256373711
"peak8491",1.95717898679426,34.0951821181929,14.5377186800461,30.6142302378142,0,0,55.4802878647868,29.7277942628908,16.2038588115275,5.12870347190297,20.628118148356,14.1920837582474
"peak8603",8.80730544057418,28.4126517651608,27.9571513077811,13.8257813977225,0,0,27.498925289503,33.8758585786431,11.5741848653768,22.2243817115795,29.3950683614073,9.22485444286082
"peak8620",14.678842400957,54.9311267459775,23.4840070985361,31.1080081448757,0,0,41.0071692913642,37.3325788417699,18.5186957846029,9.4026230318221,38.6777215281674,6.38643769121134
