geneSymbol,half_life
1700029J07Rik,17.682
1700029J11Rik,9.887
1700029M20Rik,4.661
1700029P11Rik,18.886
1700030A11Rik,24
1700030C10Rik,9.804
1700030E10Rik,4.437
1700030J22Rik,2.693
1700030K09Rik,4.307
1700030M09Rik,6.022
1700030P01Rik,9.229
1700031C06Rik,2.355
1700031F05Rik,21.068
1700031M16Rik,12.203
1700034F02Rik,6.155
1700034G24Rik,5.761
1700034H14Rik,4.489
1700034H15Rik,8.004
1700034K08Rik,19.58
1700034O15Rik,7.779
1700034P13Rik,17.372
1700036D21Rik,3.615
1700037B06Rik,4.387
1700037C18Rik,20.149
1700037F24Rik,24
1700037H04Rik,9.587
1700038P13Rik,3.269
1700039E15Rik,5.975
1700040D17Rik,12.907
1700040I03Rik,5.247
1700040L02Rik,9.547
1700040N02Rik,8.193
1700041B20Rik,2.693
1700041C02Rik,5.307
1700041E20Rik,8.232
1700041G16Rik,2.254
1700042G07Rik,6.917
1700042G15Rik,5.172
1700042O10Rik,14.938
1700045I11Rik,20.326
1700045I19Rik,2.299
1700047E16Rik,6.144
1700047I17Rik,5.733
1700047M11Rik,24
1700048B10Rik,5.975
1700048O20Rik,21.728
1700049E15Rik,8.621
1700049E17Rik,14.561
1700049E22Rik,22.145
1700049G17Rik,4.079
1700049J03Rik,1.444
1700049K14Rik,13.459
1700049L16Rik,12.311
1700049M11Rik,19.042
1700052I12Rik,6.664
1700052K11Rik,3.426
1700052N19Rik,5.165
1700054F22Rik,6.341
1700054H16Rik,24
1700054N08Rik,2.03
1700054O13Rik,7.072
1700055C04Rik,24
1700055M20Rik,13.227
1700056E22Rik,7.138
1700057H15Rik,17.864
1700057K13Rik,7.212
1700058C01Rik,4.398
1700058C13Rik,7.625
1700060C20Rik,8.145
1700060H10Rik,1.866
1700061J05Rik,9.156
1700061J23Rik,13.381
1700063D05Rik,23.819
1700063H04Rik,6.632
1700064E03Rik,6.98
1700064F23Rik,19.525
1700065O13Rik,1.979
1700066B19Rik,5.686
1700066J24Rik,16.425
1700066M21Rik,2.678
1700067G17Rik,12.246
1700067K01Rik,12.907
1700067P10Rik,5.176
1700069L16Rik,8.92
1700071A11Rik,4.013
1700071K01Rik,17.682
1700072B07Rik,15.369
1700072H12Rik,5.518
1700072I22Rik,24
1700080F18Rik,5.985
1700080G18Rik,7.903
1700080O16Rik,24
1700081B01Rik,8.361
1700081L11Rik,2.235
1700084C01Rik,5.505
1700084E18Rik,8.557
1700084J12Rik,8.013
1700084P21Rik,11.197
1700085C21Rik,17.199
1700086O06Rik,4.223
1700086P04Rik,3.571
1700088E04Rik,24
1700090G07Rik,7.08
1700092C10Rik,11.494
1700092C17Rik,8.494
1700092M07Rik,6.016
1700093J21Rik,10.518
1700093K21Rik,3.696
1700094C09Rik,12.557
1700094D03Rik,6.755
1700094M24Rik,7.642
1700095B10Rik,10.502
1700095G12Rik,11.289
1700095J03Rik,3.274
1700095J12Rik,4.705
1700095K22Rik,14.41
1700096K11Rik,6.98
1700097N02Rik,21.66
1700100M05Rik,0.907
1700101C01Rik,5.081
1700101E01Rik,6.188
1700101G07Rik,24
1700101I19Rik,24
1700102P08Rik,3.933
1700106J16Rik,12.883
1700106N22Rik,8.154
1700108F19Rik,12.355
1700108N06Rik,10.486
1700108N11Rik,6.775
1700109F18Rik,7.453
1700109G14Rik,6.471
1700109H08Rik,3.017
1700110C19Rik,1.07
1700110I01Rik,20.446
1700110K17Rik,8.453
1700111A04Rik,4.895
1700111E14Rik,10.016
1700111N16Rik,10.299
1700112C13Rik,6.938
1700112E06Rik,24
1700112K13Rik,12.671
1700113A16Rik,8.351
1700113H08Rik,5.98
1700113I22Rik,10.163
1700113O17Rik,8.173
1700116B05Rik,11.629
1700119H24Rik,5.79
1700120J03Rik,5.299
1700120K04Rik,24
1700121K02Rik,4.457
1700121N20Rik,5.523
1700122C07Rik,5.714
1700122O11Rik,9.316
