"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-miR-130b-5p",42.3729453369061,0.354016883575792,0.295348079760657,1.26076923404675,0.207392001425954,0.617885135282842
"mmu-miR-132-3p",346.345247682815,-0.987363900420858,0.247957190516834,-3.98375669703309,6.78343237330733e-05,0.00293044278526877
"mmu-miR-132-5p",1.90050453802664,-1.02938293924812,0.429178386313676,-2.27970520780074,0.0226251782344268,0.212479934723313
"mmu-miR-133a-3p",390.357612367325,-1.00961352601205,0.302526831288492,-3.29771869677482,0.000974737340421938,0.0200517395743941
"mmu-miR-133a-5p",0.158344887265076,-0.0727369588815999,0.219778198750314,-0.33095872864199,0.740675660154086,NA
"mmu-miR-134-5p",11.2281772800872,-0.781544438681264,0.416221916452964,-1.87993173526835,0.0601173821239269,0.364005421345355
"mmu-miR-135a-5p",20.0461426328878,-0.483002731135453,0.299792919339434,-1.60367698113714,0.108785272370119,0.451380216394472
"mmu-miR-135b-5p",1971.41108666919,1.04924177935359,0.276338410003272,3.79964403433677,0.000144904074644969,0.00481527386512511
"mmu-miR-136-3p",4.11095925486124,-0.30680514672106,0.421518453756552,-0.747864390690826,0.454541958208762,0.81478060558583
"mmu-miR-136-5p",63.3036586828086,-0.497219890293928,0.240821284422859,-2.07064263228671,0.0383922049939113,0.296168438524458
"mmu-miR-137-3p",39.8070394820149,-0.454707726986296,0.214917318630712,-2.11543132245586,0.0343932025414786,0.270142972689432
"mmu-miR-138-5p",21.8707140571155,-0.259069828429585,0.28569904345785,-0.908470595498067,0.363629642362843,0.741633278712478
"mmu-miR-139-3p",251.822271987045,-0.0865403948618478,0.154657088947717,-0.560216458060519,0.575331802427394,0.846004611583113
"mmu-miR-139-5p",202.893178140915,-0.062058105214636,0.163592156884893,-0.376660372959139,0.706426015285873,0.899043640328935
"mmu-miR-140-3p",1107.72807781617,-0.230268718026681,0.0881090093438221,-2.61360143752897,0.00895934836469174,0.101853644567022
"mmu-miR-140-5p",1011.57302415068,-0.0774928024397917,0.140314537298889,-0.55237108662202,0.58069413589122,0.846004611583113
"mmu-miR-141-3p",6864.39890821682,0.0143635929541202,0.0832411576158185,0.170557129705029,0.864572009433614,0.949661535594387
"mmu-miR-141-5p",1509.09805905844,-0.0554703883109409,0.0994191624807719,-0.557790652827015,0.576987346195426,0.846004611583113
"mmu-miR-142a-3p",1295.56166860682,0.202379462260489,0.303453178506995,0.696634988076791,0.48603125385797,0.829903168642858
"mmu-miR-142a-5p",2.29421547202827,-0.101936850575145,0.427763067203191,-0.179527402750597,0.857523602564101,0.949661535594387
"mmu-miR-143-3p",88.9643182758385,-0.0783100397529421,0.303006848224593,-0.16367639010504,0.869985904830799,0.949661535594387
"mmu-miR-143-5p",124.879104621408,0.105195494920546,0.288346677135525,0.534636146970319,0.592901483189303,0.85466294522169
"mmu-miR-144-3p",0.762722129134101,-0.0348974802310752,0.400279533940442,-0.0797209288557105,0.936459213610062,NA
"mmu-miR-144-5p",2.85150095224571,0.359865607942145,0.425886547622554,0.821983097589533,0.411086516766417,0.78928611219152
"mmu-miR-145a-3p",1.58727631381439,-0.486617469348001,0.420802697879767,-1.18606395141391,0.23559704522592,0.654336255311853
"mmu-miR-145a-5p",51.7980878425761,-0.188394419436733,0.34586232460812,-0.358716014145976,0.719807547107325,0.899043640328935
"mmu-miR-146a-5p",1445.82124266233,-0.712234142519914,0.13101375523952,-5.43497848154343,5.48030457111601e-08,1.18374578736106e-05
"mmu-miR-146b-3p",0.847283754479298,-0.624165390270467,0.337151513228747,-1.79837380631033,0.0721177907893258,NA
"mmu-miR-146b-5p",3115.43964831112,-0.537449287956026,0.142211173670874,-3.77886423666343,0.00015754528382902,0.00486139732958118
